fire_year,total_amortized_smoke_impact,total_fire_duration,total_acres_burned,avg_daily_smoke_impact
1964,7.432191848478627e-07,10.002544598883386,28.468121417707913,7.430301134881522e-08
1965,1.1819147159734888e-06,30.00391337167037,43.78149365396728,3.9392018678785084e-08
1966,1.0323468421123383e-06,30.00241023557402,26.964909642299364,3.4408796960194857e-08
1967,1.5081502701973976e-05,30.04512304250356,504.8215108144538,5.019617553450793e-07
1968,1.0937086844502649e-06,30.003640019031508,40.72331573682478,3.645253321785351e-08
1969,1.3853184660061703e-05,70.03532959629612,395.2557094807656,1.9780280524009043e-07
1970,9.558525523789117e-05,870.2101086309908,2350.625105202271,1.09841582268293e-07
1971,3.9367298934400485e-05,770.0996402440156,1114.7417312994444,5.1119747208200837e-08
1972,2.4160119683595868e-05,510.05288279208366,591.6349943300996,4.736787203581873e-08
1973,1.3484449098922125e-05,360.02975078681357,332.8418544907346,3.74537078379024e-08
1974,4.7947472052165735e-05,820.1224999283871,1370.4882359864255,5.8463792977698447e-08
1975,3.82511447303547e-05,800.0951303013965,1064.2860013582788,4.780824589689161e-08
1976,0.00015297128749797208,1290.3803254955178,4254.954466632996,1.1854744254507267e-07
1977,7.81031026784385e-05,780.1994909057375,2231.8375455336923,1.0010657990531141e-07
1978,8.982875682173044e-05,1090.3603410327821,4031.3749801587765,8.238446818108336e-08
1979,6.219011290912511e-05,1110.2033134810792,2274.603240224412,5.6016868400550845e-08
1980,0.00012834722359712913,1050.3933277569583,4400.4194197972,1.2218967905213724e-07
1981,7.599053579020702e-05,1190.3793089475043,4243.5816673810705,6.383724516968919e-08
1982,2.794030374251446e-05,680.0790814608338,884.736939721803,4.1083904069652765e-08
1983,2.049488325353822e-05,580.0523653978036,585.8465601358844,3.533281558033593e-08
1984,0.0002908076183757285,791.1852935595905,13260.667993829045,3.675594336029269e-07
1985,0.002120074303225413,1603.281429418135,148588.19114668356,1.322334472491728e-06
1986,0.001271978343991681,2215.5014777267365,61548.69316500976,5.741266059983955e-07
1987,0.015436048872354865,2924.4393255050104,944678.9380443976,5.278293427985302e-06
1988,0.0035993170086941135,1632.5936683078394,364647.0620160757,2.2046618693705675e-06
1989,0.001634941678255396,1188.5445851851518,95593.96182363227,1.375582959726079e-06
1990,0.001399301896217347,1616.9688099882082,77964.71584443364,8.653858303102033e-07
1991,0.011890716186800408,2725.536043890961,733195.3444236178,4.3627073703363255e-06
1992,0.001700375797355877,1616.0022711337124,67151.40234171425,1.0522112671060616e-06
1993,0.002627656702348899,1964.9213396376683,166934.95831247405,1.3372834063848272e-06
1994,0.006794918223828847,2729.9492387774585,335062.0687022068,2.4890273149810602e-06
1995,0.004190031760017484,4575.99929476279,178994.75979441212,9.156539348275155e-07
1996,0.014248931643285516,3443.300800253863,820064.8421512465,4.1381605819145945e-06
1997,0.0027680181895316626,2103.302389458402,148822.68506835346,1.3160343483679605e-06
1998,0.006105409257599177,3629.843218557461,557629.2621236427,1.6820035715001303e-06
1999,0.00864579232477634,5239.484609381269,441740.60648059414,1.6501226684197325e-06
2000,0.01396188394401255,5163.264082421347,595900.7431285268,2.7040809304228017e-06
2001,0.012512666992537183,4928.022307687714,649134.1763034639,2.539084892740324e-06
2002,0.008219657112015165,4379.172367685352,438247.3507973142,1.8769887142761026e-06
2003,0.01357457744911556,4677.512116652179,531549.6735056158,2.9020934870033533e-06
2004,0.011918710805905819,4849.702021178473,556049.59306258,2.457617138920544e-06
2005,0.025222341102347362,7388.005219667517,984572.9695335001,3.413958213673602e-06
2006,0.029935031811846657,9594.415334744663,1839423.7862023932,3.1200475242552464e-06
2007,0.035698717514413926,11290.665184568883,1797468.3600502508,3.161790464144122e-06
2008,0.03483005982643728,11022.961204676165,1599402.1530526474,3.159773420200523e-06
2009,0.050835751579295936,13075.397111157936,3640434.0699423663,3.887893510776439e-06
2010,0.0406828898973788,13383.166371988507,1601697.4963371544,3.0398553501157758e-06
2011,0.07566330447484344,27354.36854043128,4859569.981645179,2.7660409840208475e-06
2012,0.036737730284881955,12603.941000284096,1386610.4664892543,2.91478120090009e-06
2013,0.03272597543777734,9942.387173298242,1145473.457565844,3.2915611580353466e-06
2014,0.0649561120480022,13832.618659920967,3049966.406114235,4.6958651608178815e-06
2015,0.05054488629164081,13145.927389123,2303846.7693518917,3.844908373178897e-06
2016,0.0756835417881047,18349.68577308272,3800290.841564511,4.124514322698942e-06
2017,0.05130755891802436,13235.711930294727,3867709.473362885,3.8764487462581e-06
2018,0.05242066637335178,14559.287147052222,2453311.273688314,3.6004967718467758e-06
2019,0.02377816937642168,10876.617296138309,857168.6891018213,2.1861732125910144e-06
2020,0.02207803722150276,10869.715481013222,779953.4893835373,2.031151345227737e-06
