NAME,DATE,TAVG,TMAX,TMIN,PRCP
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2009-09-01,75.7,83.4,68.0,8.6
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2009-10-01,60.7,69.0,52.5,10.55
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2009-11-01,55.1,65.1,45.1,1.37
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2009-12-01,40.9,48.3,33.5,5.13
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-01-01,37.1,45.2,29.0,3.93
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-02-01,37.4,45.2,29.6,3.87
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-03-01,52.6,62.5,42.8,3.62
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-04-01,66.0,76.4,55.5,7.02
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-05-01,74.2,83.2,65.1,9.26
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-06-01,84.6,93.6,75.6,0.31
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-07-01,84.9,93.8,75.9,6.3
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-08-01,86.6,95.8,77.3,2.32
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-09-01,79.2,90.6,67.7,0.15
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-10-01,66.1,79.1,53.1,2.04
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-11-01,53.9,64.7,43.0,6.57
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-12-01,40.3,48.7,31.9,2.52
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2011-01-01,38.9,46.9,30.8,1.49
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2011-02-01,47.1,56.9,37.3,3.37
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2011-03-01,54.2,63.0,45.5,4.96
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2011-04-01,65.8,76.3,55.3,11.76
"MEMPHIS INTERNATIONAL AIRPORT, TN US",2011-05-01,70.2,79.6,60.9,7.12
