date,bls_date,bls_curr_sae_hrs,bls_curr_laus_labor_force,bls_curr_laus_unemployment_rate,bls_prev_yr_sae_hrs,bls_prev_yr_laus_labor_force,bls_prev_yr_laus_unemployment_rate,bls_pct_diff_sae_hrs,bls_pct_diff_laus_labor_force,bls_pct_diff_laus_unemployment_rate,noaa_name,noaa_date,noaa_tavg,noaa_tmax,noaa_tmin,noaa_prcp
2009-09-01,2009-09-01,34.1,609366.0,10.2,35.1,622233.0,7.1,-2.849002849002849,-2.067874895738413,43.66197183098591,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2009-09-01,75.7,83.4,68.0,8.6
2009-10-01,2009-10-01,34.1,610121.0,10.1,34.9,625384.0,7.1,-2.292263610315178,-2.4405805073362927,42.25352112676057,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2009-10-01,60.7,69.0,52.5,10.55
2010-05-01,2010-05-01,35.3,634087.0,9.4,33.8,608644.0,9.4,4.437869822485208,4.180276154862284,0.0,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-05-01,74.2,83.2,65.1,9.26
2010-06-01,2010-06-01,35.5,645307.0,10.0,34.3,621823.0,10.3,3.4985422740524865,3.7766374032481913,-2.912621359223308,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-06-01,84.6,93.6,75.6,0.31
2010-07-01,2010-07-01,35.4,648544.0,9.8,34.3,624170.0,10.3,3.2069970845481093,3.905025874361152,-4.854368932038835,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-07-01,84.9,93.8,75.9,6.3
2010-08-01,2010-08-01,35.7,641058.0,9.6,34.8,613741.0,10.2,2.5862068965517406,4.4509002983343136,-5.882352941176468,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-08-01,86.6,95.8,77.3,2.32
2010-09-01,2010-09-01,35.4,636704.0,9.5,34.1,609366.0,10.2,3.8123167155425137,4.48630215666775,-6.862745098039209,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-09-01,79.2,90.6,67.7,0.15
2010-10-01,2010-10-01,35.5,639245.0,9.4,34.1,610121.0,10.1,4.105571847507327,4.773479359012392,-6.930693069306924,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2010-10-01,66.1,79.1,53.1,2.04
2011-05-01,2011-05-01,35.7,640839.0,9.4,35.3,634087.0,9.4,1.133144475920696,1.0648381058119785,0.0,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2011-05-01,70.2,79.6,60.9,7.12
2011-06-01,2011-06-01,35.7,648389.0,10.2,35.5,645307.0,10.0,0.5633802816901489,0.4776021335581358,1.999999999999993,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2011-06-01,83.7,93.3,74.1,3.56
2011-07-01,2011-07-01,35.5,651200.0,9.9,35.4,648544.0,9.8,0.2824858757062187,0.4095327379483889,1.0204081632653024,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2011-07-01,86.0,94.9,77.2,2.95
2011-08-01,2011-08-01,35.8,640968.0,9.7,35.7,641058.0,9.6,0.2801120448179112,-0.0140392912965753,1.041666666666663,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2011-08-01,83.9,93.0,74.9,3.08
2011-09-01,2011-09-01,34.6,638600.0,9.5,35.4,636704.0,9.5,-2.2598870056497096,0.2977835854651455,0.0,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2011-09-01,73.3,83.6,62.9,2.56
2011-10-01,2011-10-01,35.4,641371.0,9.3,35.5,639245.0,9.4,-0.2816901408450744,0.3325798402803307,-1.0638297872340388,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2011-10-01,62.7,74.6,50.8,1.28
2012-05-01,2012-05-01,34.4,632309.0,8.5,35.7,640839.0,9.4,-3.6414565826330647,-1.3310675536289147,-9.574468085106387,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2012-05-01,76.3,86.4,66.1,3.18
2012-06-01,2012-06-01,34.6,643552.0,9.3,35.7,648389.0,10.2,-3.0812324929972026,-0.7460027853649583,-8.823529411764692,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2012-06-01,80.2,90.6,69.9,1.38
2012-07-01,2012-07-01,34.9,643709.0,9.2,35.5,651200.0,9.9,-1.6901408450704265,-1.150337837837838,-7.070707070707082,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2012-07-01,85.4,94.5,76.2,2.26
2012-08-01,2012-08-01,35.1,630356.0,8.5,35.8,640968.0,9.7,-1.955307262569821,-1.6556208734289386,-12.37113402061855,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2012-08-01,82.7,92.8,72.7,2.64
2012-09-01,2012-09-01,35.5,629809.0,8.1,34.6,638600.0,9.5,2.6011560693641576,-1.3766050735984967,-14.736842105263165,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2012-09-01,75.3,84.7,65.9,7.01
2012-10-01,2012-10-01,35.3,637546.0,8.2,35.4,641371.0,9.3,-0.2824858757062187,-0.5963786950142741,-11.827956989247326,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2012-10-01,61.4,71.3,51.4,3.66
2013-05-01,2013-05-01,34.7,627983.0,8.3,34.4,632309.0,8.5,0.8720930232558264,-0.6841591690138841,-2.35294117647058,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2013-05-01,69.6,78.6,60.7,10.75
2013-06-01,2013-06-01,35.2,635394.0,9.2,34.6,643552.0,9.3,1.7341040462427786,-1.267652031226692,-1.0752688172043163,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2013-06-01,79.7,88.9,70.5,5.47
2013-07-01,2013-07-01,34.6,631238.0,8.9,34.9,643709.0,9.2,-0.8595988538681867,-1.9373661079773623,-3.26086956521738,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2013-07-01,80.4,89.1,71.8,3.73
2013-08-01,2013-08-01,34.8,615579.0,8.5,35.1,630356.0,8.5,-0.8547008547008668,-2.3442308790588178,0.0,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2013-08-01,81.1,89.6,72.6,2.18
2013-09-01,2013-09-01,35.4,614486.0,8.4,35.5,629809.0,8.1,-0.2816901408450744,-2.4329598338543907,3.7037037037037126,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2013-09-01,78.4,87.4,69.4,2.7
2013-10-01,2013-10-01,35.0,611283.0,8.4,35.3,637546.0,8.2,-0.8498583569405018,-4.119389032320805,2.439024390243916,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2013-10-01,64.6,73.7,55.6,3.3
2014-05-01,2014-05-01,35.2,611052.0,7.1,34.7,627983.0,8.3,1.440922190201729,-2.6960920916649016,-14.457831325301216,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2014-05-01,71.4,80.8,62.0,4.33
2014-06-01,2014-06-01,35.6,620094.0,8.0,35.2,635394.0,9.2,1.1363636363636322,-2.407954749336632,-13.04347826086956,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2014-06-01,79.3,87.5,71.1,13.4
2014-07-01,2014-07-01,35.4,619445.0,8.1,34.6,631238.0,8.9,2.312138728323691,-1.868233534736502,-8.988764044943828,"MEMPHIS INTERNATIONAL AIRPORT, TN US",2014-07-01,78.0,86.5,69.5,2.57
