"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DP01","DP10","DX32","DX90","EMNT","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2019-09","6.0","2317","2","1","0","28","68","0.10","100","0","0.12","0.0","83.5","93.7","73.3","190","220","21.0","28"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2019-10","7.2","2437","11","8","0","4","32","3.39","98","151","12.96","0.0","64.0","73.8","54.2","280","250","33.1","60"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2019-11","7.4","2437","9","7","1","0","17","1.39","72","661","4.31","0.0","48.0","58.6","37.3","360","300","31.1","38"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2019-12","6.9","2437","7","6","0","0","26","1.42","71","1195","4.04","0.0","47.8","56.7","38.9","270","220","25.1","36"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2020-01","8.5","0","16","7","0","0","23","1.80","72","1762","6.44","0.0","46.7","54.8","38.7","170","160","31.1","45"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2020-02","9.2","0","15","12","0","0","22","1.32","70","2321","6.34","0.6","45.7","54.2","37.2","290","300","40.0","51"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2020-03","9.6","29","20","15","0","0","36","1.41","85","2553","9.40","0.0","58.5","66.8","50.2","190","190","31.1","41"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2020-04","8.3","52","11","10","0","0","34","2.60","82","2716","5.57","0.0","60.3","69.7","50.9","290","290","38.0","50"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2020-05","8.5","243","8","5","0","1","43","0.84","91","2771","2.00","0.0","69.4","78.7","60.0","290","300","35.1","46"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2020-06","7.8","658","10","7","0","11","61","1.02","95","2771","3.33","0.0","78.9","88.1","69.6","10","360","46.1","58"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2020-07","6.3","1251","14","6","0","29","71","0.44","97","0","1.73","0.0","84.1","92.9","75.3","330","330","35.1","47"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2020-08","6.7","1737","13","7","0","17","65","1.93","97","0","6.47","0.0","80.7","89.7","71.7","180","200","35.1","46"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2020-09","7.6","2032","7","5","0","5","52","0.62","92","8","1.58","0.0","74.5","82.6","66.4","90","80","21.9","32"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2020-10","7.2","2100","6","3","0","0","39","2.68","85","146","4.69","0.0","62.7","72.2","53.3","70","70","25.1","34"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2020-11","7.4","2121","5","4","0","0","28","0.78","82","425","1.74","0.0","56.4","67.2","45.6","270","270","32.0","44"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2020-12","8.1","2121","9","8","0","0","21","1.91","73","1067","6.39","0.0","44.3","53.5","35.0","200","280","28.0","38"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2021-01","8.7","0","10","7","0","0","21","1.18","72","1723","3.55","0.3","43.8","51.4","36.2","310","290","32.0","42"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2021-02","9.2","1","14","10","9","0","1","2.20","75","2506","6.96","10.0","37.1","44.7","29.6","160","280","28.0","39"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2021-03","8.7","20","10","9","0","0","31","3.77","81","2731","9.37","0.0","58.3","68.8","47.9","210","220","33.1","47"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2021-04","8.3","69","7","6","0","0","35","1.17","84","2901","3.10","0.0","61.0","71.3","50.6","340","220","30.0","39"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2021-05","8.7","240","10","8","0","0","49","1.33","89","2933","4.01","0.0","69.5","78.6","60.4","340","210","31.1","38"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2021-06","7.4","657","9","5","0","15","62","1.81","94","2933","4.74","0.0","78.9","87.0","70.8","200",,"32.0",
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2021-07","6.7","1173","13","8","0","17","65","1.89","96","0","5.73","0.0","81.6","89.7","73.7","180","90","25.1","51"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2021-08","7.2","1730","5","4","0","20","68","1.05","96","0","2.40","0.0","83.0","91.5","74.4","50","80","30.0","38"
