STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,CDSD,DP01,DP10,DX32,DX90,EMNT,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.05639,-89.9864,76.6,2009-09,6.3,2023,16,11,0,4,53,2.14,93,1,8.6,0,75.7,83.4,68,80,80,31.1,37
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.05639,-89.9864,76.6,2009-10,7.6,2044,14,8,0,0,38,2.12,85,155,10.55,0,60.7,69,52.5,160,150,25.1,38
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.05639,-89.9864,76.6,2009-11,6,2047,6,2,0,0,29,0.94,77,454,1.37,0,55.1,65.1,45.1,360,220,21,31
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.05639,-89.9864,76.6,2009-12,7.8,2047,9,6,0,0,23,2.03,63,1200,5.13,0,40.9,48.3,33.5,130,150,30,39
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.05639,-89.9864,76.6,2010-01,8.1,0,9,7,7,0,9,0.87,65,2065,3.93,1.4,37.1,45.2,29,150,130,32,47
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.05639,-89.9864,76.6,2010-02,6.5,0,6,6,1,0,23,1.5,66,2836,3.87,5.4,37.4,45.2,29.6,320,320,30,40
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.05639,-89.9864,76.6,2010-03,8.3,2,10,7,0,0,27,1.1,79,3222,3.62,0,52.6,62.5,42.8,280,270,40,56
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.05639,-89.9864,76.6,2010-04,8.9,88,6,5,0,0,41,2.94,86,3278,7.02,0,66,76.4,55.5,220,220,33.1,48
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.05639,-89.9864,76.6,2010-05,7.6,387,10,8,0,2,52,3.5,91,3292,9.26,0,74.2,83.2,65.1,310,310,33.1,46
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",35.05639,-89.9864,76.6,2010-06,7.4,975,3,1,0,26,68,0.17,98,3292,0.31,0,84.6,93.6,75.6,280,270,31.1,43
