year,site_code,site_name,pollutant_number,pollutant_name,average_aqi_fire_season
1972,21,Frayser Ozone Monitor,44201,Ozone,16.25
1973,21,Frayser Ozone Monitor,42101,Carbon monoxide,36.53658536585366
1973,21,Frayser Ozone Monitor,44201,Ozone,40.333333333333336
1973,24,Alabama Ave. Station,42101,Carbon monoxide,58.622950819672134
1973,24,Alabama Ave. Station,44201,Ozone,18.78125
1974,21,Frayser Ozone Monitor,42101,Carbon monoxide,28.57777777777778
1974,21,Frayser Ozone Monitor,44201,Ozone,40.13123844731978
1974,24,Alabama Ave. Station,42101,Carbon monoxide,51.27485380116959
1974,24,Alabama Ave. Station,44201,Ozone,34.38709677419355
1975,21,Frayser Ozone Monitor,42101,Carbon monoxide,30.920353982300885
1975,21,Frayser Ozone Monitor,44201,Ozone,57.94981412639405
1975,24,Alabama Ave. Station,42101,Carbon monoxide,38.93258426966292
1975,24,Alabama Ave. Station,44201,Ozone,38.585144927536234
1976,21,Frayser Ozone Monitor,42101,Carbon monoxide,29.64327485380117
1976,21,Frayser Ozone Monitor,44201,Ozone,70.19495412844037
1976,24,Alabama Ave. Station,42101,Carbon monoxide,43.46103896103896
1976,24,Alabama Ave. Station,44201,Ozone,45.50675675675676
1977,21,Frayser Ozone Monitor,42101,Carbon monoxide,26.38961038961039
1977,21,Frayser Ozone Monitor,44201,Ozone,106.87777777777778
1977,24,Alabama Ave. Station,42101,Carbon monoxide,34.14673913043478
1977,24,Alabama Ave. Station,44201,Ozone,37.36820083682009
1978,21,Frayser Ozone Monitor,44201,Ozone,93.3125
1978,24,Alabama Ave. Station,42101,Carbon monoxide,42.390728476821195
1979,21,Frayser Ozone Monitor,42602,Nitrogen dioxide (NO2),43.950819672131146
1979,21,Frayser Ozone Monitor,44201,Ozone,48.39912280701754
1979,24,Alabama Ave. Station,42101,Carbon monoxide,36.49723756906077
1980,21,Frayser Ozone Monitor,42101,Carbon monoxide,24.427350427350426
1980,21,Frayser Ozone Monitor,44201,Ozone,63.050925925925924
1980,24,Alabama Ave. Station,42101,Carbon monoxide,38.06145251396648
1980,1004,Edmund Orgill Park Ozone,44201,Ozone,78.0225988700565
1981,21,Frayser Ozone Monitor,42101,Carbon monoxide,23.668478260869566
1981,21,Frayser Ozone Monitor,44201,Ozone,38.637735849056604
1981,24,Alabama Ave. Station,42101,Carbon monoxide,26.944444444444443
1981,1004,Edmund Orgill Park Ozone,44201,Ozone,67.79664179104478
1982,21,Frayser Ozone Monitor,42101,Carbon monoxide,23.73076923076923
1982,21,Frayser Ozone Monitor,44201,Ozone,38.85021097046413
1982,24,Alabama Ave. Station,42101,Carbon monoxide,29.613636363636363
1982,1004,Edmund Orgill Park Ozone,44201,Ozone,61.55011135857461
1983,21,Frayser Ozone Monitor,42101,Carbon monoxide,25.47826086956522
1983,21,Frayser Ozone Monitor,44201,Ozone,56.11978221415608
1983,24,Alabama Ave. Station,42101,Carbon monoxide,32.3235294117647
1983,1004,Edmund Orgill Park Ozone,44201,Ozone,74.3037037037037
1984,21,Frayser Ozone Monitor,42101,Carbon monoxide,37.613259668508285
1984,21,Frayser Ozone Monitor,42602,Nitrogen dioxide (NO2),37.379120879120876
1984,21,Frayser Ozone Monitor,44201,Ozone,39.741284403669724
1984,24,Alabama Ave. Station,42101,Carbon monoxide,35.65745856353591
1984,1004,Edmund Orgill Park Ozone,44201,Ozone,57.500904159132006
1985,21,Frayser Ozone Monitor,42101,Carbon monoxide,25.896174863387976
1985,21,Frayser Ozone Monitor,44201,Ozone,48.34963768115942
